title,published_on,isbn,author,cover_image_url,stock
Ready Player One,2011,9781446493830,Ernest Cline,https://covers.openlibrary.org/b/isbn/9781446493830-L.jpg,4
Fevre Dream,2011,9781592911219,George R.R. Martin,https://covers.openlibrary.org/b/isbn/9781592911219-L.jpg,5
14,2014,9781618684981,Peter Clines,https://covers.openlibrary.org/b/isbn/9781618684981-L.jpg,8
Off To Be The Wizard,2014,9781612184715,Scott Meyer,https://covers.openlibrary.org/b/isbn/9781612184715-L.jpg,5
A dirty job,2007,9780060590284,Christopher Moore,https://covers.openlibrary.org/b/isbn/9780060590284-L.jpg,6
When it's a jar: a novel,2013,9781841497822,Tom Holt,https://covers.openlibrary.org/b/isbn/9781841497822-L.jpg,11
Jonathan Strange &Amp;Amp; Mr Norrell,2006,9780765356154,Susanna Clarke,https://covers.openlibrary.org/b/isbn/9780765356154-L.jpg,4
"Good Omens: The Nice And Accurate Prophecies Of Agnes Nutter, Witch",2011,9780552159845,Terry Pratchett,https://covers.openlibrary.org/b/isbn/9780552159845-L.jpg,5
Hogfather,1998,9780061050466,Terry Pratchett,https://covers.openlibrary.org/b/isbn/9780061050466-L.jpg,2
"The Inheritance Trilogy: Includes: The Hundred Thousand Kingdoms, The Broken Kingdoms, The Kingdom Of Gods, The Awakened Kingdom",2014,9780316334006,N. K. Jemisin,https://covers.openlibrary.org/b/isbn/9780316334006-L.jpg,3
The Obelisk Gate,2016,9780316229265,N. K. Jemisin,https://covers.openlibrary.org/b/isbn/9780316229265-L.jpg,1
A confederation of valor: Valor's choice ; The better part of valor,2006,9780756403997,Tanya Huff,https://covers.openlibrary.org/b/isbn/9780756403997-L.jpg,1
Fantasy In Death,2010,9780425235898,J. D. Robb,https://covers.openlibrary.org/b/isbn/9780425235898-L.jpg,12
A confederacy of dunces,1980,9780802130204,John Kennedy Toole,https://covers.openlibrary.org/b/isbn/9780802130204-L.jpg,5
The Promise,2015,9780399161490,Robert Crais,https://covers.openlibrary.org/b/isbn/9780399161490-L.jpg,3
The Broken Crown,1997,9780886777401,Michelle West,https://covers.openlibrary.org/b/isbn/9780886777401-L.jpg,7
The Last Painting Of Sara De Vos,2016,9781410490636,Dominic Smith,https://covers.openlibrary.org/b/isbn/9781410490636-L.jpg,5
Sunshine,2003,9780425191781,Robin McKinley,https://covers.openlibrary.org/b/isbn/9780425191781-L.jpg,3
Last Days Of Summer: A Novel,2005,9780060821449,Steve Kluger,https://covers.openlibrary.org/b/isbn/9780060821449-L.jpg,2
Mrs. Pollifax On Safari,1970,9780449208281,Dorothy Gilman,https://covers.openlibrary.org/b/isbn/9780449208281-L.jpg,3
Nexus,2016,9781525230486,Ramez Naam,https://covers.openlibrary.org/b/isbn/9781525230486-L.jpg,6
Station eleven: a novel,2015,9780804172448,Emily St. John Mandel,https://covers.openlibrary.org/b/isbn/9780804172448-L.jpg,7
The City & The City,2009,9780345497512,China Miéville,https://covers.openlibrary.org/b/isbn/9780345497512-L.jpg,8
Killing me softly,1999,9780446696883,Nicci French,https://covers.openlibrary.org/b/isbn/9780446696883-L.jpg,2
Gone Girl: A Novel,2014,9780307588371,Gillian Flynn,https://covers.openlibrary.org/b/isbn/9780307588371-L.jpg,14
The Passage: A Novel,2010,9781410432872,Justin Cronin,https://covers.openlibrary.org/b/isbn/9781410432872-L.jpg,1
Moon Called,2006,9781101208434,Patricia Briggs,https://covers.openlibrary.org/b/isbn/9781101208434-L.jpg,3
El problema de los tres cuerpos,2016,9788466659734,Cixin Liu,https://covers.openlibrary.org/b/isbn/9788466659734-L.jpg,5
The lions of Al-Rassan,2005,9780060733490,Guy Gavriel Kay,https://covers.openlibrary.org/b/isbn/9780060733490-L.jpg,3
Red Mars,1993,9780553560732,Kim Stanley Robinson,https://covers.openlibrary.org/b/isbn/9780553560732-L.jpg,4
Ancillary Justice,2013,9780316246620,Ann Leckie,https://covers.openlibrary.org/b/isbn/9780316246620-L.jpg,2
Rolling In The Deep,2015,9781596067080,Mira Grant,https://covers.openlibrary.org/b/isbn/9781596067080-L.jpg,3
Cibola Burn,2015,9780316334686,James S.A. Corey,https://covers.openlibrary.org/b/isbn/9780316334686-L.jpg,3
Wool,2012,9781780891248,Hugh Howey,https://covers.openlibrary.org/b/isbn/9781780891248-L.jpg,4
Look Me In The Eye: My Life With Asperger's,2008,9780307396181,John Elder Robison,https://covers.openlibrary.org/b/isbn/9780307396181-L.jpg,5
Forrest Gump,1994,9780785755708,Winston Groom,https://covers.openlibrary.org/b/isbn/9780785755708-L.jpg,4
Stranger In A Strange Land,1982,9780425058336,Robert Anson Heinlein,https://covers.openlibrary.org/b/isbn/9780425058336-L.jpg,6
Bearing An Hourglass,1985,9780345313157,Piers Anthony,https://covers.openlibrary.org/b/isbn/9780345313157-L.jpg,9
Lord Foul's Bane,1987,9780345348654,Stephen R. Donaldson,https://covers.openlibrary.org/b/isbn/9780345348654-L.jpg,8
Lord Foul's Bane,2013,9781473202504,Stephen Donaldson,https://covers.openlibrary.org/b/isbn/9781473202504-L.jpg,3
The Thought Gang,1994,9781565842861,Tibor Fischer,https://covers.openlibrary.org/b/isbn/9781565842861-L.jpg,4
Riptide,1998,9780446523363,Douglas Preston,https://covers.openlibrary.org/b/isbn/9780446523363-L.jpg,1
"Alan Mendelsohn, the boy from Mars",1979,9780525253600,Daniel Manus Pinkwater,https://covers.openlibrary.org/b/isbn/9780525253600-L.jpg,2
Interstellar pig,2004,9780140375954,William Sleator,https://covers.openlibrary.org/b/isbn/9780140375954-L.jpg,3
"Heroes of Greece and Troy, retold from the ancient authors",2009,9780141325286,Roger Lancelyn Green,https://covers.openlibrary.org/b/isbn/9780141325286-L.jpg,6
Kraken: an anatomy,2010,9788490182383,China Miéville,https://covers.openlibrary.org/b/isbn/9788490182383-L.jpg,5
Perdido Street Station,2001,9780739416846,China Miéville,https://covers.openlibrary.org/b/isbn/9780739416846-L.jpg,5
